,Name,Street,City,State
0,#1 CHINA BUFFET,"125 E. REYNOLDS ROAD, STE. 120",Lexington,Kentucky
1,1ST.  BASE CONCESSION,207 LEGENDS LANE,Lexington,Kentucky
2,21C LEXINGTON MASTER TENANT,167 W MAIN STREET,Lexington,Kentucky
3,2ND FLOOR CLUB KITCHEN,4201 VERSAILLES RD.,Lexington,Kentucky
4,3RD. BASE CONCESSION,207 LEGENDS LANE,Lexington,Kentucky
5,A CUP OF COMMON WEALTH,105 EASTERN AVE,Lexington,Kentucky
7,A P  SUGGINS,345 ROMANY RD,Lexington,Kentucky
8,"A&W BURGERS, CHICKEN, FLOATS",3401 NICHOLASVILLE RD STE FL-07,Lexington,Kentucky
9,A&W BURGERS-CHICKEN-FLOATS,114 TOWNE CENTER DR,Lexington,Kentucky
10,A&W RESTAURANT,652 E MAIN STREET,Lexington,Kentucky
11,ACE'S PLACE,2192 ICEHOUSE WAY,Lexington,Kentucky
12,AFC SUSHI @ KROGER # 407,3101 RICHMOND ROAD,Lexington,Kentucky
13,AFC SUSHI @ KROGER #347,4101 TATES CREEK RD,Lexington,Kentucky
14,AFC SUSHI @ KROGER #767,3175 BEAUMONT CNTR CIRCLE,Lexington,Kentucky
15,AFC SUSHI @ KROGER #768,"1600 LEESTOWN ROAD, STE 150",Lexington,Kentucky
16,AFC SUSHI @ KROGER #784,704 EUCLID,Lexington,Kentucky
18,AFC SUSHI @ KROGER 371,3650 BOSTON ROAD,Lexington,Kentucky
21,AFC SUSHI @ KROGER L-359,1650 BRYAN STATION ROAD,Lexington,Kentucky
23,AFC SUSHI @ KROGER L-361,1808 ALEXANDRIA DRIVE,Lexington,Kentucky
24,AFC SUSHI @ KROGER L-721,4750 HARTLAND PARKWAY,Lexington,Kentucky
26,AFC SUSHI @ UKY001,800 ROSE STREET,Lexington,Kentucky
27,"AFRICA & CARIBBEAN IMPORTS, LLC",1315 WINCHESTER RD STE 349 / 337 STORAGE,Lexington,Kentucky
31,AIRPORT FOOD MART,5584 VERSAILLES ROAD,Lexington,Kentucky
33,ALFALFA RESTAURANT,141 E. MAIN ST,Lexington,Kentucky
36,ALI BABA GROCERY STORE,412 SOUTHLAND DR,Lexington,Kentucky
44,"ALL ABOUT KIDS, LC",695 VINCENT WAY,Lexington,Kentucky
